job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,salario_min,salario_max,salario_avg,estado,pais,tem_python,tem_sql,tem_r,tem_machine_learning,tem_aws,tem_spark,tem_deep_learning,tem_scikit_learning,tem_tensorflow,tem_pytorch,tem_azure,tem_gcp,tem_tableau,tem_pandas,tem_git,tem_java,tem_powerbi,salario_predito
Cientista de Dados,Sênior,Não Informado,company_878,"Noida, Uttar Pradesh, India . Bengaluru, Karnataka, India",16 days ago,"San Jose, CA, US",Tecnologia,Pública,"21,300",€144.67B,"€29,932 - €37,411","['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'python', 'scala', 'sql', 'hadoop', 'machine learning', 'keras', 'azure']",29932.0,37411.0,33671.5,,IN,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,28590.595490704694
Cientista de Dados,Sênior,Híbrido,company_781,"Greenwood Village, CO . Hybrid",9 days ago,"Stamford, CT, US",Tecnologia,Pública,"96,040",Public,"€80,559","['pytorch', 'aws', 'python', 'sql', 'machine learning', 'hadoop', 'azure', 'tensorflow']",80559.0,80559.0,80559.0,CO,US,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,123678.94785170603
Cientista de Dados,Sênior,Presencial,company_021,On-site,2 days ago,"San Francisco, CA, US",Tecnologia,Pública,"5,570",€60.91B,"€189,974",[],189974.0,189974.0,189974.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182601.51088836312
Cientista de Dados,Sênior,Presencial,company_288,"Chantilly, VA . On-site",a month ago,"Reston, VA, US",Tecnologia,Pública,"26,040",€63.09B,"€114,169","['aws', 'azure']",114169.0,114169.0,114169.0,VA,US,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,129526.57474091402
Cientista de Dados,Pleno,Remoto,company_421,"Quito, Pichincha, Ecuador . Fully Remote",14 days ago,"Cheyenne, WY, US",Tecnologia,,Private,,"€25,216","['sql', 'machine learning', 'python']",25216.0,25216.0,25216.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24983.929522505277
Cientista de Dados,Pleno,Remoto,company_421,"Podgorica, Montenegro . Fully Remote",14 days ago,"Cheyenne, WY, US",Tecnologia,,Private,,"€25,212","['sql', 'machine learning', 'python']",25212.0,25212.0,25212.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24983.929522505277
Cientista de Dados,Sênior,Híbrido,company_983,"Hickam Village, HI . Hybrid",14 days ago,"McLean, VA, US",Tecnologia,Pública,"27,020",Public,"€90,425 - €205,504","['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'java', 'machine learning', 'gcp', 'kubernetes', 'hadoop', 'azure', 'matplotlib', 'tensorflow']",90425.0,205504.0,147964.5,HI,US,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,125362.83142440193
Cientista de Dados,Líder,Não Informado,company_366,"Hyderabad, Telangana, India",6 days ago,"Columbia, MD, US",Tecnologia,Privada,180,Private,"€19,776","['pandas', 'numpy', 'aws', 'r', 'python', 'machine learning', 'gcp', 'azure']",19776.0,19776.0,19776.0,,IN,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,24730.97930546428
Cientista de Dados,Sênior,Presencial,company_992,"San Francisco, CA",7 days ago,"Sydney, NSW, AU",Tecnologia,Pública,"6,040",€27.92B,"€184,128 - €240,389","['tableau', 'sql', 'r', 'python']",184128.0,240389.0,212258.5,CA,US,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,207997.58770692884
Cientista de Dados,Sênior,Presencial,company_917,"Mountain View, CA",14 days ago,"Mountain View, CA, US",Tecnologia,Pública,"258,800",€1.29T,"€167,139 - €247,512","['sql', 'r', 'python']",167139.0,247512.0,207325.5,CA,US,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202539.2200159033
Cientista de Dados,Sênior,Híbrido,company_008,"Chennai, Tamil Nadu, India . Hybrid",21 days ago,"San Jose, CA, US",Tecnologia,Pública,"34,640",€81.66B,"€33,313 - €42,993","['r', 'python', 'sql', 'gcp', 'machine learning']",33313.0,42993.0,38153.0,,IN,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,34220.32755701404
Cientista de Dados,Sênior,Não Informado,company_375,"Singapore, Singapore",2 months ago,"Singapore, SG",Tecnologia,Pública,"36,090",Public,"€104,650 - €128,175","['pytorch', 'python', 'scala', 'machine learning', 'deep learning', 'tensorflow']",104650.0,128175.0,116412.5,,,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,84417.17064079695
Cientista de Dados,Sênior,Presencial,company_366,"Hyderabad, Telangana, India",4 days ago,"Columbia, MD, US",Tecnologia,Privada,180,Private,"€19,777","['pandas', 'numpy', 'aws', 'r', 'python', 'machine learning', 'gcp', 'azure']",19777.0,19777.0,19777.0,,IN,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,22814.05684442532
Cientista de Dados,Júnior,Não Informado,company_269,"Charlotte, NC . New York, NY",23 days ago,"Charlotte, NC, US",Finanças,Pública,"274,250",€276.77B,"€132,436 - €146,136","['machine learning', 'matplotlib', 'python']",132436.0,146136.0,139286.0,NC,US,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125009.12695001933
Cientista de Dados,Sênior,Não Informado,company_250,"New York, NY",3 months ago,"Paris, FR",Saúde,Privada,"76,030",Private,"€66,122 - €99,997","['pandas', 'numpy', 'aws', 'scikit-learn', 'python', 'machine learning', 'azure']",66122.0,99997.0,83059.5,NY,US,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,144827.97495244647
Cientista de Dados,Sênior,Presencial,company_288,"Reston, VA . On-site",a month ago,"Reston, VA, US",Tecnologia,Pública,"26,030",€62.74B,"€114,169","['pytorch', 'aws', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'tensorflow', 'tableau']",114169.0,114169.0,114169.0,VA,US,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,146702.7664368791
Cientista de Dados,Sênior,Híbrido,company_081,"New York, NY . Hybrid",7 days ago,"San Francisco, CA, US",Tecnologia,Pública,"5,030",€4.72B,"€135,177 - €168,970",[],135177.0,168970.0,152073.5,NY,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146382.360490483
Cientista de Dados,Pleno,Híbrido,company_008,"Tondiarpet, Tamil Nadu, India . Bengaluru, Karnataka, India . Hybrid",7 days ago,"San Jose, CA, US",Tecnologia,Pública,"34,640",€81.81B,"€24,064 - €45,170","['pytorch', 'scikit-learn', 'python', 'machine learning', 'tensorflow']",24064.0,45170.0,34617.0,,IN,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,32004.670342225978
Engenheiro de Machine Learning,Sênior,Presencial,company_156,"Mountain View, California (HQ) . On-site",7 days ago,"Mountain View, CA, US",Tecnologia,Privada,900,€8.10B,"€167,893 - €252,056",[],167893.0,252056.0,209974.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149658.5136480637
Cientista de Dados,Sênior,Presencial,company_980,"Bengaluru, Karnataka, India",2 months ago,"Minneapolis, MN, US",Varejo,Pública,"409,050",€66.89B,"€31,213 - €58,200","['spark', 'machine learning', 'python']",31213.0,58200.0,44706.5,,IN,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,45357.41
Engenheiro de Machine Learning,Júnior,Presencial,company_881,"San Jose, CA",14 days ago,CN,Tecnologia,Privada,"110,010",€128.02B,"€132,436 - €216,919","['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']",132436.0,216919.0,174677.5,CA,US,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,174584.5139485769
Cientista de Dados,Sênior,Híbrido,company_083,"London, England, United Kingdom . Londýn, Anglie, Spojené království . Hybrid",3 months ago,"Paris, IDF, FR",Tecnologia,Privada,"263,560",€25.31B,"€73,983","['pytorch', 'aws', 'scikit-learn', 'docker', 'deep learning', 'machine learning', 'kubernetes', 'keras', 'azure', 'tensorflow']",73983.0,73983.0,73983.0,,UK,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,72400.66991641908
Cientista de Dados,Sênior,Não Informado,company_134,"North Reading, MA",a month ago,"Seattle, WA, US",Varejo,Pública,"865,456",€832.91B,"€155,274 - €182,674","['amazon', 'r', 'python', 'sql', 'machine learning']",155274.0,182674.0,168974.0,MA,US,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134758.44140844466
Cientista de Dados,Sênior,Híbrido,company_183,"Berlin, Berlin, Germany . Hybrid",7 days ago,"Tallinn, EE",Tecnologia,Privada,"3,800",Private,"€98,643","['sql', 'r', 'python']",98643.0,98643.0,98643.0,,DE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83959.0539563644
Cientista de Dados,Sênior,Presencial,company_291,"Atlanta, GA",16 days ago,"Bengaluru, KA, IN",Tecnologia,Pública,"261,010",€71.23B,"€85,861 - €150,250","['pytorch', 'spark', 'aws', 'r', 'python', 'scala', 'java', 'sql', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow', 'tableau']",85861.0,150250.0,118055.5,GA,US,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,127413.19280011186
