job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills
Cientista de Dados,Sênior,Presencial,company_363,"Bellevue, WA",23 days ago,"New York, NY, US",Tecnologia,Pública,"24,320",Public,"€109,328 - €203,035","['pytorch', 'scikit-learn', 'python', 'scala', 'java', 'machine learning', 'tensorflow']"
Cientista de Dados,Líder,Presencial,company_235,"Phoenix, AZ",15 days ago,"San Antonio, TX, US",Finanças,Privada,"33,050",Private,"€137,000","['spark', 'r', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']"
Cientista de Dados,Sênior,,company_365,"McLean, VA",2 months ago,"Annapolis Junction, MD, US",Tecnologia,Privada,420,Private,"€72,666 - €159,901","['database', 'machine learning', 'python']"
Cientista de Dados,Líder,,company_366,"Columbia, MD",14 days ago,"Columbia, MD, US",Tecnologia,Privada,180,Private,"€100,472 - €146,138","['pytorch', 'spark', 'aws', 'r', 'python', 'scikit-learn', 'scala', 'sql', 'machine learning', 'gcp', 'azure', 'tensorflow']"
Cientista de Dados,Sênior,Presencial,company_367,On-site,a month ago,"New York, NY, US",Tecnologia,Privada,420,Private,"€144,307 - €167,140",[]
Cientista de Dados,Sênior,,company_185,"Utah, United States",15 days ago,"Falls Church, VA, US",Tecnologia,Pública,"97,070",€75.20B,"€125,495 - €188,149","['aws', 'gcp', 'azure']"
Engenheiro de Machine Learning,Sênior,,company_371,"South San Francisco, CA . South San Francisco, Kalifornia, Stany Zjednoczone",7 days ago,"South San Francisco, CA, US",Saúde,Privada,250,Private,"€190,891 - €212,811","['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']"
Cientista de Dados,Sênior,Híbrido,company_146,"Kitchener-Waterloo, ON . Toronto, ON . Hybrid",11 days ago,"San Francisco, CA, US",Finanças,Privada,780,€11.85B,"€153,447 - €210,986",[]
Engenheiro de Machine Learning,Sênior,Presencial,company_178,"Torrance, CA",15 days ago,"Torrance, CA, US",Tecnologia,Pública,"10,100",€36.69B,"€63,941","['java', 'machine learning', 'r', 'python']"
Cientista de Dados,,Remoto,company_112,Fully Remote,4 days ago,"San Francisco, CA, US",Tecnologia,Privada,420,€4.85B,"€213,594",[]
Engenheiro de Machine Learning,Líder,,company_326,,a year ago,"Mumbai, MH, IN",Tecnologia,Privada,910,€7.66B,"€44,202",[]
Cientista de Dados,Sênior,Híbrido,company_382,Greater Chicago Area . Hybrid,a month ago,"Chicago, IL, US",Finanças,Privada,660,€2.03B,"€73,068 - €91,335","['aws', 'python', 'sql', 'machine learning', 'deep learning']"
Cientista de Dados,,Presencial,company_383,"Barcelona, Spain . On-site",2 months ago,"Milano, IT",Tecnologia,Privada,"3,800",Private,"€46,528 - €76,222",[]
